distance_bin,total,error_count,fp_count,fn_count,error_rate,fp_rate,fn_rate
0,166,39,0,39,0.23493975903614459,0.0,0.23493975903614459
1-5,367,14,14,0,0.03814713896457766,0.03814713896457766,0.0
6-10,207,5,5,0,0.024154589371980676,0.024154589371980676,0.0
11-20,315,4,4,0,0.012698412698412698,0.012698412698412698,0.0
21-50,703,12,12,0,0.017069701280227598,0.017069701280227598,0.0
50+,223,0,0,0,0.0,0.0,0.0
