window_position,total_pages,fp_count,fn_count,fp_rate,fn_rate
1,120,0,13,0.0,0.10833333333333334
2,413,19,6,0.04600484261501211,0.014527845036319613
3,383,6,6,0.015665796344647518,0.015665796344647518
4,369,5,4,0.013550135501355014,0.01084010840108401
5,357,6,6,0.01680672268907563,0.01680672268907563
