distance_bin,total,error_count,fp_count,fn_count,error_rate,fp_rate,fn_rate
0,166,39,0,39,0.23493975903614459,0.0,0.23493975903614459
1-5,367,17,17,0,0.04632152588555858,0.04632152588555858,0.0
6-10,207,4,4,0,0.01932367149758454,0.01932367149758454,0.0
11-20,315,5,5,0,0.015873015873015872,0.015873015873015872,0.0
21-50,703,10,10,0,0.01422475106685633,0.01422475106685633,0.0
50+,223,2,2,0,0.008968609865470852,0.008968609865470852,0.0
