position,total,fp_count,fn_count,error_count,error_rate,fp_rate,fn_rate
1,413,14,8,22,0.053268765133171914,0.03389830508474576,0.01937046004842615
10,318,6,8,14,0.0440251572327044,0.018867924528301886,0.025157232704402517
19,291,3,10,13,0.044673539518900345,0.010309278350515464,0.03436426116838488
28,273,7,5,12,0.04395604395604396,0.02564102564102564,0.018315018315018316
37,258,4,0,4,0.015503875968992248,0.015503875968992248,0.0
46,216,0,3,3,0.013888888888888888,0.0,0.013888888888888888
55,119,2,0,2,0.01680672268907563,0.01680672268907563,0.0
64,73,2,0,2,0.0273972602739726,0.0273972602739726,0.0
73,20,0,1,1,0.05,0.0,0.05
