position,total,fp_count,fn_count,error_count,error_rate,fp_rate,fn_rate
1,413,12,11,23,0.05569007263922518,0.029055690072639227,0.026634382566585957
10,318,5,7,12,0.03773584905660377,0.015723270440251572,0.0220125786163522
19,291,6,10,16,0.054982817869415807,0.020618556701030927,0.03436426116838488
28,273,5,5,10,0.03663003663003663,0.018315018315018316,0.018315018315018316
37,258,5,2,7,0.027131782945736434,0.01937984496124031,0.007751937984496124
46,216,0,3,3,0.013888888888888888,0.0,0.013888888888888888
55,119,1,0,1,0.008403361344537815,0.008403361344537815,0.0
64,73,1,0,1,0.0136986301369863,0.0136986301369863,0.0
73,20,0,1,1,0.05,0.0,0.05
