distance_bin,total,error_count,fp_count,fn_count,error_rate,fp_rate,fn_rate
0,166,35,0,35,0.21084337349397592,0.0,0.21084337349397592
1-5,367,10,10,0,0.027247956403269755,0.027247956403269755,0.0
6-10,207,6,6,0,0.028985507246376812,0.028985507246376812,0.0
11-20,315,5,5,0,0.015873015873015872,0.015873015873015872,0.0
21-50,703,15,15,0,0.021337126600284494,0.021337126600284494,0.0
50+,223,2,2,0,0.008968609865470852,0.008968609865470852,0.0
