position,fp_count,fn_count,total_errors,total_pages,error_rate
1,5,18,23,559,0.04114490161001789
2,13,6,19,497,0.03822937625754527
3,13,9,22,480,0.04583333333333333
4,7,6,13,444,0.02927927927927928
