position,total_pages,fp_count,fn_count,total_errors,error_rate,fp_rate,fn_rate,correct_count
1,41,0,0,0,0.0,0.0,0.0,41
2,502,4,12,16,0.03187250996015936,0.00796812749003984,0.02390438247011952,486
3,493,19,11,30,0.060851926977687626,0.038539553752535496,0.02231237322515213,463
4,477,9,9,18,0.03773584905660377,0.018867924528301886,0.018867924528301886,459
5,467,6,7,13,0.027837259100642397,0.01284796573875803,0.014989293361884369,454
