position,total_pages,fp_count,fn_count,total_errors,error_rate,fp_rate,fn_rate,correct_count
1,42,0,0,0,0.0,0.0,0.0,42
2,234,3,4,7,0.029914529914529916,0.01282051282051282,0.017094017094017096,227
3,230,2,10,12,0.05217391304347826,0.008695652173913044,0.043478260869565216,218
4,226,9,4,13,0.05752212389380531,0.03982300884955752,0.017699115044247787,213
5,223,3,3,6,0.026905829596412557,0.013452914798206279,0.013452914798206279,217
6,216,1,3,4,0.018518518518518517,0.004629629629629629,0.013888888888888888,212
7,208,6,6,12,0.057692307692307696,0.028846153846153848,0.028846153846153848,196
8,204,2,2,4,0.0196078431372549,0.00980392156862745,0.00980392156862745,200
9,201,3,1,4,0.01990049751243781,0.014925373134328358,0.004975124378109453,197
10,197,6,6,12,0.06091370558375635,0.030456852791878174,0.030456852791878174,185
