position,fp_count,fn_count,total_errors,total_pages,error_rate
1,7,8,15,300,0.05
2,5,4,9,257,0.03501945525291829
3,3,7,10,230,0.043478260869565216
4,7,3,10,218,0.045871559633027525
5,3,3,6,211,0.02843601895734597
6,1,2,3,203,0.014778325123152709
7,7,4,11,192,0.057291666666666664
8,2,3,5,187,0.026737967914438502
9,3,1,4,183,0.02185792349726776
